"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02148V02965","Type of Animal","C02196V04140","Region","UNIT","VALUE"
"AAA09","Number of Livestock in June","2017","2017","031","Breeding pigs","IE052","South-East","000 Head","22.3"
"AAA09","Number of Livestock in June","2017","2017","031","Breeding pigs","IE053","South-West","000 Head","23.3"
"AAA09","Number of Livestock in June","2017","2017","031","Breeding pigs","IE06","Eastern and Midland","000 Head","36.6"
"AAA09","Number of Livestock in June","2017","2017","031","Breeding pigs","IE06106","Dublin and Mid-East","000 Head","10.9"
"AAA09","Number of Livestock in June","2017","2017","031","Breeding pigs","IE063","Midland","000 Head","25.7"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","-","State","000 Head","143.4"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE04","Northern and Western","000 Head","40.5"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE041","Border","000 Head","36.1"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE042","West","000 Head","4.4"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE05","Southern","000 Head","66.4"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE051","Mid-West","000 Head","21.2"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE052","South-East","000 Head","22.2"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE053","South-West","000 Head","23"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE06","Eastern and Midland","000 Head","36.4"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE06106","Dublin and Mid-East","000 Head","10.9"
"AAA09","Number of Livestock in June","2017","2017","0311","Female breeding pigs","IE063","Midland","000 Head","25.5"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","-","State","000 Head","1.3"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE04","Northern and Western","000 Head","0.7"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE041","Border","000 Head","0.7"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE042","West","000 Head","0"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE05","Southern","000 Head","0.5"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE051","Mid-West","000 Head","0.1"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE052","South-East","000 Head","0.1"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE053","South-West","000 Head","0.3"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE06","Eastern and Midland","000 Head","0.2"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE06106","Dublin and Mid-East","000 Head","0"
"AAA09","Number of Livestock in June","2017","2017","0312","Boars","IE063","Midland","000 Head","0.1"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","-","State","000 Head","1412.2"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE04","Northern and Western","000 Head","415.3"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE041","Border","000 Head","368.6"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE042","West","000 Head","46.8"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE05","Southern","000 Head","634.4"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE051","Mid-West","000 Head","212.5"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE052","South-East","000 Head","181.6"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE053","South-West","000 Head","240.3"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE06","Eastern and Midland","000 Head","362.4"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE06106","Dublin and Mid-East","000 Head","93.2"
"AAA09","Number of Livestock in June","2017","2017","032","Other pigs","IE063","Midland","000 Head","269.2"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","-","State","000 Head","1002.1"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE04","Northern and Western","000 Head","297.5"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE041","Border","000 Head","266.9"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE042","West","000 Head","30.5"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE05","Southern","000 Head","440.7"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE051","Mid-West","000 Head","156.7"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE052","South-East","000 Head","121.3"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE053","South-West","000 Head","162.7"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE06","Eastern and Midland","000 Head","263.9"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE06106","Dublin and Mid-East","000 Head","60.4"
"AAA09","Number of Livestock in June","2017","2017","0321","Other pigs: 20kg and over","IE063","Midland","000 Head","203.5"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","-","State","000 Head","410.1"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE04","Northern and Western","000 Head","117.9"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE041","Border","000 Head","101.7"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE042","West","000 Head","16.2"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE05","Southern","000 Head","193.7"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE051","Mid-West","000 Head","55.8"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE052","South-East","000 Head","60.3"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE053","South-West","000 Head","77.6"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE06","Eastern and Midland","000 Head","98.5"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE06106","Dublin and Mid-East","000 Head","32.8"
"AAA09","Number of Livestock in June","2017","2017","0322","Other pigs: under 20kg","IE063","Midland","000 Head","65.7"
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","-","State","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE04","Northern and Western","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE041","Border","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE042","West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE05","Southern","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE051","Mid-West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE052","South-East","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE053","South-West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE06","Eastern and Midland","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE06106","Dublin and Mid-East","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","04","Total poultry","IE063","Midland","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","-","State","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE04","Northern and Western","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE041","Border","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE042","West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE05","Southern","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE051","Mid-West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE052","South-East","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE053","South-West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE06","Eastern and Midland","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE06106","Dublin and Mid-East","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","041","Ordinary fowl","IE063","Midland","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","-","State","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE04","Northern and Western","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE041","Border","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE042","West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE05","Southern","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE051","Mid-West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE052","South-East","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE053","South-West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE06","Eastern and Midland","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE06106","Dublin and Mid-East","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","042","Other fowl","IE063","Midland","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","-","State","000 Head","84.9"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE04","Northern and Western","000 Head","24.3"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE041","Border","000 Head","7.3"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE042","West","000 Head","17"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE05","Southern","000 Head","35.5"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE051","Mid-West","000 Head","11.4"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE052","South-East","000 Head","12.1"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE053","South-West","000 Head","12"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE06","Eastern and Midland","000 Head","25.1"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE06106","Dublin and Mid-East","000 Head","17.4"
"AAA09","Number of Livestock in June","2017","2017","05","Total horses and ponies","IE063","Midland","000 Head","7.7"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","-","State","000 Head","10.8"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE04","Northern and Western","000 Head","4.8"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE041","Border","000 Head","2"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE042","West","000 Head","2.8"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE05","Southern","000 Head","5.1"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE051","Mid-West","000 Head","3.6"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE052","South-East","000 Head","0.4"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE053","South-West","000 Head","1.1"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE06","Eastern and Midland","000 Head","0.9"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE06106","Dublin and Mid-East","000 Head","0.5"
"AAA09","Number of Livestock in June","2017","2017","06","Total mules, jennets and asses","IE063","Midland","000 Head","0.5"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","-","State","000 Head","8.3"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE04","Northern and Western","000 Head","2.3"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE041","Border","000 Head","0.8"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE042","West","000 Head","1.6"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE05","Southern","000 Head","3.4"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE051","Mid-West","000 Head","1.6"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE052","South-East","000 Head","0.7"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE053","South-West","000 Head","1"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE06","Eastern and Midland","000 Head","2.6"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE06106","Dublin and Mid-East","000 Head","1.2"
"AAA09","Number of Livestock in June","2017","2017","07","Total goats","IE063","Midland","000 Head","1.4"
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","-","State","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE04","Northern and Western","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE041","Border","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE042","West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE05","Southern","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE051","Mid-West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE052","South-East","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE053","South-West","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE06","Eastern and Midland","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE06106","Dublin and Mid-East","000 Head",""
"AAA09","Number of Livestock in June","2017","2017","08","Total farmed deer","IE063","Midland","000 Head",""
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","-","State","000 Head","7348.5"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE04","Northern and Western","000 Head","1736.2"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE041","Border","000 Head","797.5"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE042","West","000 Head","938.6"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE05","Southern","000 Head","3994.7"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE051","Mid-West","000 Head","1451.5"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE052","South-East","000 Head","1075.9"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE053","South-West","000 Head","1467.2"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE06","Eastern and Midland","000 Head","1617.7"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE06106","Dublin and Mid-East","000 Head","735.8"
"AAA09","Number of Livestock in June","2018","2018","01","Total cattle","IE063","Midland","000 Head","881.8"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","-","State","000 Head","2528.8"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE04","Northern and Western","000 Head","578.6"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE041","Border","000 Head","277.9"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE042","West","000 Head","300.7"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE05","Southern","000 Head","1474.8"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE051","Mid-West","000 Head","495.9"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE052","South-East","000 Head","375.4"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE053","South-West","000 Head","603.5"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE06","Eastern and Midland","000 Head","475.4"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE06106","Dublin and Mid-East","000 Head","224.9"
"AAA09","Number of Livestock in June","2018","2018","0111","Cows","IE063","Midland","000 Head","250.5"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","-","State","000 Head","1480.9"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE04","Northern and Western","000 Head","166.7"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE041","Border","000 Head","104.4"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE042","West","000 Head","62.3"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE05","Southern","000 Head","1073.7"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE051","Mid-West","000 Head","325.2"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE052","South-East","000 Head","269.6"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE053","South-West","000 Head","478.8"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE06","Eastern and Midland","000 Head","240.5"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE06106","Dublin and Mid-East","000 Head","125.9"
"AAA09","Number of Livestock in June","2018","2018","01111","Dairy cows","IE063","Midland","000 Head","114.6"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","-","State","000 Head","1047.9"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE04","Northern and Western","000 Head","411.9"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE041","Border","000 Head","173.5"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE042","West","000 Head","238.4"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE05","Southern","000 Head","401.2"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE051","Mid-West","000 Head","170.7"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE052","South-East","000 Head","105.7"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE053","South-West","000 Head","124.7"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE06","Eastern and Midland","000 Head","234.9"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE06106","Dublin and Mid-East","000 Head","99"
"AAA09","Number of Livestock in June","2018","2018","01112","Other cows","IE063","Midland","000 Head","135.8"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","-","State","000 Head","56.2"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE04","Northern and Western","000 Head","17.9"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE041","Border","000 Head","8.4"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE042","West","000 Head","9.5"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE05","Southern","000 Head","27.7"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE051","Mid-West","000 Head","10.5"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE052","South-East","000 Head","6.7"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE053","South-West","000 Head","10.5"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE06","Eastern and Midland","000 Head","10.6"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE06106","Dublin and Mid-East","000 Head","4.4"
"AAA09","Number of Livestock in June","2018","2018","0113","Bulls","IE063","Midland","000 Head","6.2"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","-","State","000 Head","779.9"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE04","Northern and Western","000 Head","188.4"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE041","Border","000 Head","73.6"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE042","West","000 Head","114.8"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE05","Southern","000 Head","362.7"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE051","Mid-West","000 Head","155.9"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE052","South-East","000 Head","96.4"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE053","South-West","000 Head","110.5"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE06","Eastern and Midland","000 Head","228.8"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE06106","Dublin and Mid-East","000 Head","111.1"
"AAA09","Number of Livestock in June","2018","2018","0133","Cattle: 2 years and over","IE063","Midland","000 Head","117.7"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","-","State","000 Head","410.6"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE04","Northern and Western","000 Head","80.7"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE041","Border","000 Head","27.7"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE042","West","000 Head","53"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE05","Southern","000 Head","209.5"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE051","Mid-West","000 Head","93.8"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE052","South-East","000 Head","56"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE053","South-West","000 Head","59.7"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE06","Eastern and Midland","000 Head","120.4"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE06106","Dublin and Mid-East","000 Head","58.2"
"AAA09","Number of Livestock in June","2018","2018","01331","Cattle male: 2 years and over","IE063","Midland","000 Head","62.3"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","-","State","000 Head","369.3"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE04","Northern and Western","000 Head","107.7"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE041","Border","000 Head","45.9"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE042","West","000 Head","61.8"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE05","Southern","000 Head","153.2"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE051","Mid-West","000 Head","62.1"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE052","South-East","000 Head","40.4"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE053","South-West","000 Head","50.8"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE06","Eastern and Midland","000 Head","108.3"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE06106","Dublin and Mid-East","000 Head","52.9"
"AAA09","Number of Livestock in June","2018","2018","01332","Cattle female: 2 years and over","IE063","Midland","000 Head","55.4"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","-","State","000 Head","1905.3"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE04","Northern and Western","000 Head","433.6"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE041","Border","000 Head","198"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE042","West","000 Head","235.6"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE05","Southern","000 Head","1002.2"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE051","Mid-West","000 Head","373.3"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE052","South-East","000 Head","294.1"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE053","South-West","000 Head","334.8"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE06","Eastern and Midland","000 Head","469.6"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE06106","Dublin and Mid-East","000 Head","208.1"
"AAA09","Number of Livestock in June","2018","2018","0134","Cattle: 1-2 years","IE063","Midland","000 Head","261.5"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","-","State","000 Head","881.6"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE04","Northern and Western","000 Head","196"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE041","Border","000 Head","89.7"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE042","West","000 Head","106.3"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE05","Southern","000 Head","463"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE051","Mid-West","000 Head","180.7"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE052","South-East","000 Head","142"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE053","South-West","000 Head","140.3"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE06","Eastern and Midland","000 Head","222.7"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE06106","Dublin and Mid-East","000 Head","96.2"
"AAA09","Number of Livestock in June","2018","2018","01341","Cattle male: 1-2 years","IE063","Midland","000 Head","126.5"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","-","State","000 Head","1023.7"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE04","Northern and Western","000 Head","237.6"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE041","Border","000 Head","108.3"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE042","West","000 Head","129.3"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE05","Southern","000 Head","539.2"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE051","Mid-West","000 Head","192.6"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE052","South-East","000 Head","152.1"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE053","South-West","000 Head","194.5"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE06","Eastern and Midland","000 Head","246.9"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE06106","Dublin and Mid-East","000 Head","111.9"
"AAA09","Number of Livestock in June","2018","2018","01342","Cattle female: 1-2 years","IE063","Midland","000 Head","135"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","-","State","000 Head","2078.3"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","IE04","Northern and Western","000 Head","517.7"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","IE041","Border","000 Head","239.7"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","IE042","West","000 Head","278"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","IE05","Southern","000 Head","1127.2"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","IE051","Mid-West","000 Head","415.9"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","IE052","South-East","000 Head","303.4"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","IE053","South-West","000 Head","407.9"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","IE06","Eastern and Midland","000 Head","433.4"
"AAA09","Number of Livestock in June","2018","2018","0135","Cattle: under 1 year","IE06106","Dublin and Mid-East","000 Head","187.5"
